Order_ID,Customer_Name,City,State,Category,Product_Name,Quantity,Price_Per_Unit,Total_Amount,Payment_Method,Delivery_Status,Order_Date
ORD00001,Gokul Borde,Chandigarh,Chandigarh,Groceries,Juice,2,17214.97,34429.94,UPI,Cancelled,2025-09-10
ORD00002,Hrishita Lata,Indore,Madhya Pradesh,Sports,Yoga Mat,6,70460.44,422762.64,Credit Card,Pending,2025-12-12
ORD00003,Saanvi Yohannan,Mysuru,Karnataka,Fashion,Shoes,4,68747.9,274991.6,Credit Card,Delivered,2025-03-31
ORD00004,Advik Sood,Hyderabad,Telangana,Home Appliances,AC,1,62036.57,62036.57,Debit Card,Cancelled,2025-09-05
ORD00005,Amani Chad,Chandigarh,Chandigarh,Sports,Yoga Mat,6,47264.75,283588.5,Cash,Shipped,2025-08-02
ORD00006,Pihu Ratta,Jaipur,Rajasthan,Electronics,Laptop,1,13836.87,13836.87,Credit Card,Shipped,2024-10-14
ORD00007,Akarsh Joshi,Mumbai,Maharashtra,Furniture,Chair,2,28345.04,56690.08,UPI,Cancelled,2024-12-22
ORD00008,Mannat Aggarwal,Jaipur,Rajasthan,Electronics,Mobile,2,97829.7,195659.4,Debit Card,Delivered,2025-01-31
ORD00009,Devansh Ray,Delhi,Delhi,Furniture,Wardrobe,7,73954.8,517683.6,UPI,Cancelled,2025-04-15
ORD00010,Divij Dubey,Kolkata,West Bengal,Home Appliances,Fan,1,98292.97,98292.97,Cash,Cancelled,2026-01-09
ORD00011,Rhea Das,Surat,Gujarat,Home Appliances,Refrigerator,9,5386.89,48482.01,Debit Card,Pending,2024-06-28
ORD00012,Inaaya  Wason,Nagpur,Maharashtra,Groceries,Rice,1,61448.65,61448.65,Debit Card,Shipped,2025-11-04
ORD00013,Taimur Mannan,Patna,Bihar,Sports,Yoga Mat,7,13541.57,94790.99,Net Banking,Delivered,2025-02-05
ORD00014,Rasha Krish,Guwahati,Assam,Furniture,Bed,5,74058.91,370294.55,Net Banking,Cancelled,2024-11-04
ORD00015,Amani Gala,Noida,Uttar Pradesh,Fashion,Watch,1,80418.61,80418.61,Net Banking,Shipped,2024-07-19
ORD00016,Anahita Gill,Kolkata,West Bengal,Fashion,Shoes,7,39023.37,273163.59,Credit Card,Delivered,2025-12-09
ORD00017,Shlok Bumb,Jaipur,Rajasthan,Electronics,Smart TV,10,22608.1,226081.0,UPI,Delivered,2024-05-14
ORD00018,Himmat Sami,Surat,Gujarat,Fashion,Watch,3,48378.6,145135.8,Debit Card,Cancelled,2025-06-08
ORD00019,Armaan Sethi,Pune,Maharashtra,Beauty,Lipstick,4,6863.34,27453.36,UPI,Delivered,2024-11-13
ORD00020,Uthkarsh Manda,Patna,Bihar,Fashion,Shoes,6,76219.5,457317.0,Cash,Shipped,2025-07-11
ORD00021,Damini Char,Chandigarh,Chandigarh,Beauty,Lipstick,10,57674.3,576743.0,UPI,Delivered,2024-12-10
ORD00022,Samar Shan,Mysuru,Karnataka,Home Appliances,Fan,1,42463.31,42463.31,Cash,Pending,2025-06-26
ORD00023,Anvi Sahni,Coimbatore,Tamil Nadu,Furniture,Wardrobe,7,57463.12,402241.84,Credit Card,Shipped,2026-03-10
ORD00024,Kiaan Ghose,Guwahati,Assam,Home Appliances,AC,3,64439.66,193318.98,Credit Card,Cancelled,2025-10-03
ORD00025,Nehmat Biswas,Chennai,Tamil Nadu,Fashion,T-Shirt,7,40701.12,284907.84,Net Banking,Cancelled,2026-02-27
ORD00026,Vanya Manda,Jaipur,Rajasthan,Electronics,Camera,2,33112.56,66225.12,Debit Card,Pending,2026-02-09
ORD00027,Navya Deshmukh,Noida,Uttar Pradesh,Home Appliances,Fan,10,65848.53,658485.3,Debit Card,Cancelled,2025-08-23
ORD00028,Zain Taneja,Hyderabad,Telangana,Fashion,Shoes,8,84957.17,679657.36,Debit Card,Cancelled,2025-02-22
ORD00029,Sumer Venkatesh,Patna,Bihar,Furniture,Wardrobe,4,25202.45,100809.8,Cash,Delivered,2025-03-23
ORD00030,Kismat Chand,Jaipur,Rajasthan,Electronics,Headphones,5,43894.99,219474.95,Cash,Cancelled,2025-10-23
ORD00031,Ela Edwin,Noida,Uttar Pradesh,Furniture,Chair,2,43675.93,87351.86,Cash,Shipped,2024-12-17
ORD00032,Hrishita Walia,Mumbai,Maharashtra,Groceries,Rice,10,28105.59,281055.9,Debit Card,Shipped,2025-09-27
ORD00033,Stuvan Khalsa,Nagpur,Maharashtra,Beauty,Perfume,6,5301.84,31811.04,Net Banking,Delivered,2025-08-26
ORD00034,Advik Goel,Jaipur,Rajasthan,Groceries,Oil,8,17252.95,138023.6,UPI,Pending,2026-04-07
ORD00035,Hansh Ganesan,Lucknow,Uttar Pradesh,Electronics,Camera,3,64408.71,193226.13,Cash,Pending,2025-01-25
ORD00036,Aniruddh Kothari,Visakhapatnam,Andhra Pradesh,Furniture,Dining Table,4,78460.33,313841.32,Credit Card,Shipped,2025-01-01
ORD00037,Ojas Divan,Ranchi,Jharkhand,Books,History Book,7,15778.48,110449.36,Debit Card,Pending,2025-09-11
ORD00038,Siya Comar,Bengaluru,Karnataka,Electronics,Camera,7,45785.83,320500.81,Net Banking,Delivered,2025-03-28
ORD00039,Anya Andra,Jaipur,Rajasthan,Books,Biography,6,84331.05,505986.3,Cash,Pending,2025-08-22
ORD00040,Samiha Sura,Bengaluru,Karnataka,Electronics,Mobile,9,22305.27,200747.43,Net Banking,Pending,2025-06-12
ORD00041,Chirag Tandon,Kolkata,West Bengal,Sports,Tennis Racket,6,45236.34,271418.04,UPI,Cancelled,2025-08-18
ORD00042,Kavya Tank,Mysuru,Karnataka,Sports,Cricket Bat,5,54041.5,270207.5,Cash,Cancelled,2024-07-16
ORD00043,Vivaan Tripathi,Ranchi,Jharkhand,Fashion,Jacket,2,74405.73,148811.46,Debit Card,Delivered,2025-09-10
ORD00044,Gokul Bhardwaj,Nagpur,Maharashtra,Books,Comics,9,54614.47,491530.23,Credit Card,Shipped,2025-01-13
ORD00045,Oorja Sekhon,Vadodara,Gujarat,Beauty,Lipstick,9,62035.02,558315.18,Cash,Shipped,2025-10-14
ORD00046,Sara Bahri,Guwahati,Assam,Fashion,Shoes,7,43864.43,307051.01,Net Banking,Shipped,2024-10-17
ORD00047,Yasmin Mahal,Nagpur,Maharashtra,Groceries,Rice,1,36688.43,36688.43,UPI,Pending,2025-06-11
ORD00048,Darshit Borde,Bhopal,Madhya Pradesh,Home Appliances,AC,2,22587.63,45175.26,UPI,Delivered,2024-11-15
ORD00049,Raghav Sem,Delhi,Delhi,Sports,Football,9,56995.42,512958.78,Net Banking,Shipped,2025-12-29
ORD00050,Bhavin Chakrabarti,Bhopal,Madhya Pradesh,Fashion,Shoes,7,1609.3,11265.1,Credit Card,Pending,2024-09-14
ORD00051,Vihaan Mammen,Chennai,Tamil Nadu,Electronics,Mobile,10,6998.25,69982.5,Net Banking,Cancelled,2024-06-27
ORD00052,Zain Dua,Patna,Bihar,Fashion,Jacket,10,31648.64,316486.4,Cash,Delivered,2026-03-04
ORD00053,Raghav Bora,Hyderabad,Telangana,Sports,Cricket Bat,2,17291.52,34583.04,Net Banking,Cancelled,2024-07-29
ORD00054,Lakshit Bora,Chennai,Tamil Nadu,Books,Science Book,10,42594.56,425945.6,Credit Card,Delivered,2026-04-13
ORD00055,Nirvaan Kunda,Visakhapatnam,Andhra Pradesh,Furniture,Dining Table,10,93180.7,931807.0,Credit Card,Pending,2025-08-09
ORD00056,Tarini Ramesh,Chandigarh,Chandigarh,Books,Science Book,3,29865.39,89596.17,Debit Card,Shipped,2026-02-22
ORD00057,Jhanvi Dhingra,Hyderabad,Telangana,Beauty,Shampoo,8,67990.44,543923.52,Debit Card,Cancelled,2024-12-17
ORD00058,Kartik Chacko,Jaipur,Rajasthan,Beauty,Shampoo,5,57591.12,287955.6,Net Banking,Pending,2026-01-05
ORD00059,Gatik Kothari,Hyderabad,Telangana,Fashion,T-Shirt,7,7986.45,55905.15,Net Banking,Cancelled,2025-05-21
ORD00060,Riya Vaidya,Visakhapatnam,Andhra Pradesh,Fashion,Jacket,7,50237.44,351662.08,Net Banking,Delivered,2025-10-18
ORD00061,Anika Guha,Kolkata,West Bengal,Furniture,Wardrobe,4,85199.99,340799.96,UPI,Pending,2026-03-19
ORD00062,Pihu Mahal,Ranchi,Jharkhand,Books,Comics,1,83469.94,83469.94,Cash,Delivered,2025-05-08
ORD00063,Ishaan Thakur,Hyderabad,Telangana,Furniture,Dining Table,7,74052.25,518365.75,UPI,Shipped,2025-09-07
ORD00064,Rania Hari,Mumbai,Maharashtra,Fashion,T-Shirt,8,75283.89,602271.12,Net Banking,Delivered,2026-03-08
ORD00065,Purab Iyengar,Guwahati,Assam,Electronics,Camera,10,84628.15,846281.5,Credit Card,Cancelled,2025-05-31
ORD00066,Saanvi Taneja,Visakhapatnam,Andhra Pradesh,Fashion,Shoes,8,71575.15,572601.2,Credit Card,Pending,2024-11-29
ORD00067,Rania Buch,Chennai,Tamil Nadu,Groceries,Snacks,8,23330.37,186642.96,UPI,Cancelled,2026-03-31
ORD00068,Veer Kuruvilla,Surat,Gujarat,Home Appliances,Washing Machine,2,90860.0,181720.0,Debit Card,Cancelled,2024-12-11
ORD00069,Himmat Goda,Indore,Madhya Pradesh,Furniture,Wardrobe,5,44876.82,224384.1,Credit Card,Shipped,2024-05-12
ORD00070,Alia Gandhi,Vadodara,Gujarat,Sports,Cricket Bat,6,88052.55,528315.3,Net Banking,Shipped,2025-04-19
